,ARG,AUL,AUS,BEL,BRA,CAN,CHN,DEN,FIN,FRN,GER,IND,ITA,JPN,KOR,MEX,NTH,NOR,PAK,POL,POR,RUS,SPN,SWD,SWZ,TUR,UKG,USA
ARG,72,49,52,50,67,53,54,50,52,56,54,52,56,55,56,63,52,51,46,47,53,51,55,51,51,49,52,51
AUL,49,72,51,54,48,62,51,54,55,58,57,54,58,66,62,52,56,55,44,50,53,54,56,55,55,55,58,65
AUS,52,51,75,68,50,59,47,64,67,70,68,48,70,59,56,51,66,61,42,60,65,55,65,67,63,59,62,57
BEL,50,54,68,77,50,65,48,69,71,74,72,49,73,63,57,52,73,65,41,60,67,53,70,71,67,61,69,64
BRA,67,48,50,50,80,53,60,50,52,59,56,61,55,57,59,62,51,51,49,49,52,54,55,51,52,50,54,54
CAN,53,62,59,65,53,81,55,63,63,71,68,54,69,70,63,57,65,63,45,56,59,58,62,65,64,59,72,74
CHN,54,51,47,48,60,55,77,49,51,59,57,64,56,60,65,52,52,49,55,47,48,60,52,50,50,49,56,61
DEN,50,54,64,69,50,63,49,76,74,71,71,48,71,62,58,51,72,71,42,62,65,56,68,74,65,59,69,65
FIN,52,55,67,71,52,63,51,74,82,75,74,52,74,63,61,54,73,69,43,63,68,57,71,77,66,62,70,65
FRN,56,58,70,74,59,71,59,71,75,96,82,57,83,71,65,57,77,68,46,68,70,62,75,74,68,66,78,77
GER,54,57,68,72,56,68,57,71,74,82,88,56,83,72,65,58,77,69,46,64,69,58,74,73,67,65,80,73
IND,52,54,48,49,61,54,64,48,52,57,56,80,53,62,62,52,52,50,58,49,49,58,52,51,50,53,55,60
ITA,56,58,70,73,55,69,56,71,74,83,83,53,89,71,65,58,76,69,43,63,71,59,77,73,69,66,77,72
JPN,55,66,59,63,57,70,60,62,63,71,72,62,71,84,71,60,67,63,49,56,63,61,66,64,64,63,71,77
KOR,56,62,56,57,59,63,65,58,61,65,65,62,65,71,79,57,60,58,50,55,58,62,63,58,59,58,61,68
MEX,63,52,51,52,62,57,52,51,54,57,58,52,58,60,57,76,54,52,43,50,56,52,58,52,53,53,56,56
NTH,52,56,66,73,51,65,52,72,73,77,77,52,76,67,60,54,81,70,44,64,69,57,72,74,68,62,74,69
NOR,51,55,61,65,51,63,49,71,69,68,69,50,69,63,58,52,70,74,43,59,63,56,66,70,68,59,66,65
PAK,46,44,42,41,49,45,55,42,43,46,46,58,43,49,50,43,44,43,70,43,43,50,41,44,43,48,45,47
POL,47,50,60,60,49,56,47,62,63,68,64,49,63,56,55,50,64,59,43,71,60,58,62,63,57,57,62,58
POR,53,53,65,67,52,59,48,65,68,70,69,49,71,63,58,56,69,63,43,60,73,54,70,66,63,62,65,59
RUS,51,54,55,53,54,58,60,56,57,62,58,58,59,61,62,52,57,56,50,58,54,80,56,59,56,59,56,63
SPN,55,56,65,70,55,62,52,68,71,75,74,52,77,66,63,58,72,66,41,62,70,56,80,68,64,64,70,64
SWD,51,55,67,71,51,65,50,74,77,74,73,51,73,64,58,52,74,70,44,63,66,59,68,82,69,59,72,66
SWZ,51,55,63,67,52,64,50,65,66,68,67,50,69,64,59,53,68,68,43,57,63,56,64,69,75,57,65,64
TUR,49,55,59,61,50,59,49,59,62,66,65,53,66,63,58,53,62,59,48,57,62,59,64,59,57,74,62,62
UKG,52,58,62,69,54,72,56,69,70,78,80,55,77,71,61,56,74,66,45,62,65,56,70,72,65,62,85,75
USA,51,65,57,64,54,74,61,65,65,77,73,60,72,77,68,56,69,65,47,58,59,63,64,66,64,62,75,92
